Size,Chest (flat),Length,Sleeve length
2XS,48,65,55.5
XS,50,65,55.5
S,52,68,57
M,54,68,58.5
L,58,71,60
XL,62,71,61.5
2XL,66,74,63
3XL,70,74,64.5
4XL,74,78,65
5XL,78,78,65.5
6XL,82,78,66
